城市,标题,总价(万),单价(元/平),户型,面积(平),朝向,装修,楼层,年份,小区,区域,链接
北京,精装修采光好中间位置，看房方便，小区安静,309,"52,021元/平",2室1厅,59.4平米,南 北,精装,高楼层(共6层),板楼,竹园,马连洼,https://bj.lianjia.com/ershoufang/101129485557.html
北京,首座御园一区二期 3室2厅 西南,278,"23,540元/平",3室2厅,118.1平米,西南,其他,顶层(共12层),2015年,首座御园一区二期,枣园,https://bj.lianjia.com/ershoufang/101133746206.html
北京,金兴苑 2室1厅 西 北,230,"38,598元/平",2室1厅,59.59平米,西 北,简装,30层,2006年,金兴苑,菜户营,https://bj.lianjia.com/ershoufang/101133761882.html
北京,长桥园公寓 经典南北向三居 房子交通便利 购物方便,333,"28,199元/平",3室1厅,118.09平米,南 北,简装,中楼层(共12层),2002年,长桥园公寓,通州北苑,https://bj.lianjia.com/ershoufang/101132993614.html
北京,华龙小区 3室1厅 南 北,218,"22,554元/平",3室1厅,96.66平米,南 北,简装,中楼层(共6层),1998年,华龙小区,潞苑,https://bj.lianjia.com/ershoufang/101131556938.html
北京,光织谷东区 南北通透 客户通阳台 看房随时,200,"21,766元/平",2室1厅,91.89平米,南 北,精装,中楼层(共7层),2013年,世嘉光织谷东区,怀柔,https://bj.lianjia.com/ershoufang/101134133882.html
北京,世嘉光织谷西区 眼睛户型两居室,190,"20,041元/平",2室1厅,94.81平米,南,精装,中楼层(共5层),2012年,世嘉光织谷西区,怀柔,https://bj.lianjia.com/ershoufang/101131762322.html
北京,富力尚悦居D区  两年精装修 南向,129,"23,077元/平",1室1厅,55.9平米,南,精装,低楼层(共18层),2015年,富力尚悦居D区,通州其它,https://bj.lianjia.com/ershoufang/101133364349.html
北京,鸿顺园东区两居室，采光充足，视野开阔，南北通透,195,"22,233元/平",2室1厅,87.71平米,南 北,简装,中楼层(共15层),2011年,鸿顺园东区,良乡,https://bj.lianjia.com/ershoufang/101134012806.html
北京,东方太阳城顶层大三居，高尔夫景观,450,"25,525元/平",3室2厅,176.3平米,南 北,精装,顶层(共6层),2010年,东方太阳城,顺义其它,https://bj.lianjia.com/ershoufang/101133344776.html
北京,满五唯一商品房 南北通透户型 中间楼层 诚心卖,193,"25,432元/平",2室1厅,75.89平米,南 北,简装,中楼层(共28层),2014年,华远铭悦园,临河里,https://bj.lianjia.com/ershoufang/101133074576.html
北京,珠江国际城八区 精装修满五年唯一 拎包入住,649,"52,812元/平",3室2厅,122.89平米,南 北,精装,底层(共8层),板楼,珠江国际城八区,潞苑,https://bj.lianjia.com/ershoufang/101133495007.html
北京,小高层三居室 友谊医院附近 中间层采光好 电梯洋房,245,"26,062元/平",3室1厅,94.01平米,东 西,简装,中楼层(共10层),2013年,珠江丽景家园,潞苑,https://bj.lianjia.com/ershoufang/101134022169.html
北京,强佑清河新城府学上院 1室0厅 南,270,"57,472元/平",1室0厅,46.98平米,南,简装,低楼层(共14层),2021年,强佑清河新城府学上院,清河,https://bj.lianjia.com/ershoufang/101128927088.html
北京,北河沿大街一居出售好户型靠近南锣鼓巷,325,"76,688元/平",1室1厅,42.38平米,南,简装,顶层(共4层),板楼,北河沿大街,灯市口,https://bj.lianjia.com/ershoufang/101133166902.html
北京,中关村科育小区三居 满五唯一央产房 不占用,820,"96,030元/平",3室1厅,85.39平米,南 北,简装,顶层(共4层),板楼,科育小区,中关村,https://bj.lianjia.com/ershoufang/101133358105.html
北京,加州水郡二期 3室2厅 南 北,279,"19,878元/平",3室2厅,140.36平米,南 北,精装,9层,2006年,加州水郡二期,长阳,https://bj.lianjia.com/ershoufang/101134074389.html
北京,满五商品房，南北通透格局，次顶层有电梯,329,"27,509元/平",3室2厅,119.6平米,南 北,简装,高楼层(共6层),板楼,绿丰家园,豆各庄,https://bj.lianjia.com/ershoufang/101133376319.html
北京,DBC加州小镇 1室1厅 南,165,"28,071元/平",1室1厅,58.78平米,南,简装,顶层(共11层),2005年,DBC加州小镇,临河里,https://bj.lianjia.com/ershoufang/101132674247.html
北京,朝阳区垡头低价三居，看房随时方便，有钥匙,226,"23,285元/平",3室1厅,97.06平米,南 北,简装,低楼层(共24层),2014年,翠成馨园D区,垡头,https://bj.lianjia.com/ershoufang/101133174883.html
北京,永定路57号院，精装修，南北通透两居室,325,"59,524元/平",2室1厅,54.6平米,南 北,精装,高楼层(共6层),板楼,永定路57号院,五棵松,https://bj.lianjia.com/ershoufang/101132850849.html
北京,双合家园C区 2室1厅 南,218,"25,044元/平",2室1厅,87.05平米,南,简装,高楼层(共22层),2013年,双合家园C区,垡头,https://bj.lianjia.com/ershoufang/101131391724.html
北京,双井地铁口精装修南北通透两居室,296,"49,203元/平",2室1厅,60.16平米,南 北,精装,低楼层(共14层),1984年,广渠路,双井,https://bj.lianjia.com/ershoufang/101132807970.html
北京,翠微东西通透两居 小区属于老旧名单 单独下水随时看,379,"75,952元/平",2室1厅,49.9平米,东 西,精装,底层(共5层),1976年,翠微路4号,公主坟,https://bj.lianjia.com/ershoufang/101130876010.html
北京,甘露园南里二区  高层电梯 双南两居室 满五年唯一,265,"42,205元/平",2室1厅,62.79平米,南 北,简装,高楼层(共16层),塔楼,甘露园南里,甘露园,https://bj.lianjia.com/ershoufang/101134076572.html
北京,北京太阳城 2室1厅 南 北,200,"17,729元/平",2室1厅,112.81平米,南 北,精装,低楼层(共6层),2008年,北京太阳城,北七家,https://bj.lianjia.com/ershoufang/101128411402.html
北京,东南向两居室 大客厅 采光好 近地铁,498,"52,895元/平",2室1厅,94.15平米,东南,精装,中楼层(共26层),2001年,安慧北里逸园,亚运村,https://bj.lianjia.com/ershoufang/101133348130.html
北京,首创悦溪汇业主诚意出售 电梯两居室 满五年唯一,135,"17,615元/平",2室2厅,76.64平米,南 北,简装,中楼层(共8层),板塔结合,首创悦溪汇,马坡,https://bj.lianjia.com/ershoufang/101131535764.html
北京,佳运园一期 南向两居室 采光好 视野好 板楼,209,"26,717元/平",2室1厅,78.23平米,南,简装,顶层(共6层),板楼,佳运园一期,立水桥,https://bj.lianjia.com/ershoufang/101133488697.html
北京,北街家园二区 3室2厅 南 北,475,"32,283元/平",3室2厅,147.14平米,南 北,其他,低楼层(共9层),2008年,北街家园二区,沙河,https://bj.lianjia.com/ershoufang/101133869017.html
北京,621所生活区 南北两居 精装修 商品房 看房随时,185,"30,630元/平",2室1厅,60.4平米,南 北,精装,顶层(共6层),板楼,环山村,海淀北部新区,https://bj.lianjia.com/ershoufang/101131677477.html
北京,东高地 万源南里 中间层 南北通透精装两居,205,"34,805元/平",2室1厅,58.9平米,南 北,精装,中楼层(共6层),板楼,万源南里,万源,https://bj.lianjia.com/ershoufang/101131277269.html
北京,仓上小区南北通透阳光精致一居室,135,"22,785元/平",1室1厅,59.25平米,南 北,简装,6层,1992年,仓上小区,顺义城,https://bj.lianjia.com/ershoufang/101134267112.html
北京,龙湖长城源著2号院 叠院产品 诚意出售 随时签,55,"6,572元/平",2室1厅,83.7平米,南 北,其他,中楼层(共4层),板楼,龙湖长城源著2号院,古北口镇,https://bj.lianjia.com/ershoufang/101133699901.html
北京,当代采育满庭春MOMA 全南向两居 简装 满五年,99,"11,693元/平",2室1厅,84.67平米,南,简装,低楼层(共18层),2015年,当代采育满庭春MOMA,大兴新机场洋房别墅区,https://bj.lianjia.com/ershoufang/101132428647.html
北京,南华园四区   1层  两居室,105,"17,434元/平",2室1厅,60.23平米,南 北,简装,底层(共6层),板楼,南华园四区,怀柔,https://bj.lianjia.com/ershoufang/101129897008.html
北京,此房满五唯一，楼间距大，前后无遮挡，中间楼层,458,"35,712元/平",3室1厅,128.25平米,南 北,精装,中楼层(共9层),2012年,徜徉嘉园5号院,长阳,https://bj.lianjia.com/ershoufang/101134157246.html
北京,京贸国际公馆东区 精装电梯三居 南北通透 满五唯一,432,"47,234元/平",3室1厅,91.46平米,南 北,简装,中楼层(共27层),2015年,京贸国际公馆东区,九棵树(家乐福),https://bj.lianjia.com/ershoufang/101133113990.html
北京,怡秀园小区优质电梯房 业主靠谱出售,530,"105,789元/平",1室1厅,50.1平米,西,简装,高楼层(共18层),1998年,怡秀园小区,万柳,https://bj.lianjia.com/ershoufang/101132352662.html
北京,康泽园  正规三居室 采光好 客厅带阳台 随时签约,245,"29,933元/平",3室1厅,81.85平米,西北,精装,顶层(共6层),板楼,康泽园,赵公口,https://bj.lianjia.com/ershoufang/101132938876.html
北京,天堂河南区 2室1厅 南 北,110,"21,380元/平",2室1厅,51.45平米,南 北,毛坯,底层(共4层),板楼,天堂河南区,天宫院,https://bj.lianjia.com/ershoufang/101133717190.html
北京,康家园 全南两居 按满五唯一商品房售,339,"40,362元/平",2室1厅,83.99平米,南,简装,中楼层(共18层),塔楼,康家园,甘露园,https://bj.lianjia.com/ershoufang/101134334205.html
北京,福盈家园3号院全南两居室中高楼层边户,299,"38,526元/平",2室1厅,77.61平米,南,其他,中楼层(共20层),2018年,福盈家园,定福庄,https://bj.lianjia.com/ershoufang/101132367083.html
北京,六里屯西里全南向两居 采光好户型方正,236,"46,854元/平",2室1厅,50.37平米,南,简装,高楼层(共6层),1983年,六里屯西里,团结湖,https://bj.lianjia.com/ershoufang/101134010958.html
北京,满五年唯一，南北无遮挡，小区中间不临街，管道已更换,259,"47,611元/平",2室1厅,54.4平米,南 北,精装,中楼层(共6层),1983年,六里屯西里,团结湖,https://bj.lianjia.com/ershoufang/101131692598.html
北京,石门营新区七区东苑,78,"17,652元/平",1室1厅,44.19平米,南,简装,顶层(共6层),2012年,石门营新区七区东苑,石门营,https://bj.lianjia.com/ershoufang/101133542173.html
北京,南曦大厦142.47平大面积优质房源,458,"32,148元/平",3室1厅,142.47平米,西南 北,毛坯,中楼层(共22层),2004年,南曦大厦,木樨园,https://bj.lianjia.com/ershoufang/101133133630.html
北京,金蝉北里 2室1厅 南,238,"34,142元/平",2室1厅,69.71平米,南,其他,高楼层(共18层),1998年,金蝉北里,垡头,https://bj.lianjia.com/ershoufang/101133997946.html
北京,加州二期 南北通透 精装修次顶层 三居双卫 有惊喜,255,"22,256元/平",3室1厅,114.58平米,南 北,精装,9层,2007年,加州水郡二期,长阳,https://bj.lianjia.com/ershoufang/101129742887.html
北京,龙湖2号院观景房，可观长城，70年产权，精装修,48,"13,076元/平",1室1厅,36.71平米,西,其他,高楼层(共6层),2018年,龙湖长城源著2号院,古北口镇,https://bj.lianjia.com/ershoufang/101129945004.html
北京,小街之春 1室1厅 南,140,"25,907元/平",1室1厅,54.04平米,南,简装,中楼层(共6层),2005年,小街之春,临河里,https://bj.lianjia.com/ershoufang/101133431058.html
北京,富乐社区一号院,135,"22,561元/平",2室2厅,59.84平米,南 北,简装,中楼层(共6层),板楼,富乐社区一号院,怀柔,https://bj.lianjia.com/ershoufang/101134193688.html
北京,房山城关中冶蓝城东区+三居室+南北通透,118,"12,094元/平",3室1厅,97.57平米,南 北,其他,高楼层(共6层),2015年,中冶蓝城东区,城关,https://bj.lianjia.com/ershoufang/101117631551.html
北京,北街家园六区 3室1厅 东西 2016年商品房,216,"24,644元/平",3室1厅,87.65平米,东 西,简装,高楼层(共18层),2016年,北街家园六区,沙河,https://bj.lianjia.com/ershoufang/101132973887.html
北京,华亭嘉园观景三居室户型方正无浪费看房方便,998,"62,998元/平",3室2厅,158.42平米,东南,简装,32层,2000年,华亭嘉园,健翔桥,https://bj.lianjia.com/ershoufang/101133221138.html
北京,育新花园北里 2室2厅 南 北,93,"11,715元/平",2室2厅,79.39平米,南 北,其他,低楼层(共18层),2014年,育新花园北里,大兴新机场洋房别墅区,https://bj.lianjia.com/ershoufang/101131915380.html
北京,稻香园 南北通透全明两居室 满五唯一,490,"82,506元/平",2室1厅,59.39平米,南 北,精装,中楼层(共6层),板楼,稻香园,苏州桥,https://bj.lianjia.com/ershoufang/101133940828.html
北京,裕中东里 林业局管理 满五唯一 诚意出售,580,"163,381元/平",1室1厅,35.5平米,北,简装,中楼层(共6层),板楼,裕中东里,马甸,https://bj.lianjia.com/ershoufang/101134245513.html
北京,199万 地铁5/15号线 满五唯一 价格可谈,195,"36,045元/平",2室1厅,54.1平米,东,简装,中楼层(共6层),板楼,蒲黄榆路,蒲黄榆,https://bj.lianjia.com/ershoufang/101133983468.html
北京,70年产权loft，单层面积38.93.高层无遮挡,330,"84,768元/平",1室2厅,38.93平米,东,精装,中楼层(共16层),2007年,天鹅湾北区,朝青,https://bj.lianjia.com/ershoufang/101133960914.html
北京,一层带商补协议南北通透两居室，客厅可以直接出去,285,"32,684元/平",2室1厅,87.2平米,南 北,其他,底层(共7层),2001年,天通苑东一区,天通苑,https://bj.lianjia.com/ershoufang/101133583459.html
北京,华瀚福园D区 1室1厅 南,145,"27,159元/平",1室1厅,53.39平米,南,精装,中楼层(共18层),板楼,华瀚福园D区,东坝,https://bj.lianjia.com/ershoufang/101128157199.html
北京,四环边 2015年小区 电梯房 交通方便 配套齐全,399,"41,352元/平",2室1厅,96.49平米,南 北,精装,中楼层(共20层),2014年,四合欣园,科技园区,https://bj.lianjia.com/ershoufang/101127867399.html
北京,橡树湾一期  满五唯一 位置安静 采光充足 诚意卖,798,"90,007元/平",2室1厅,88.66平米,西南,其他,中楼层(共16层),2007年,橡树湾一期,清河,https://bj.lianjia.com/ershoufang/101131816671.html
北京,新源西里中街  带电梯两居  满五年,268,"45,680元/平",2室1厅,58.67平米,东,其他,中楼层(共22层),塔楼,新源西里中街,东直门,https://bj.lianjia.com/ershoufang/101133965075.html
北京,金汉绿港纯南两居室，满五年唯一，中高楼层，不临街,259,"29,706元/平",2室1厅,87.19平米,南,精装,20层,2013年,金汉绿港五区,顺义城,https://bj.lianjia.com/ershoufang/101133748794.html
北京,红山郡 3室1厅 南 北,237,"27,349元/平",3室1厅,86.66平米,南 北,精装,高楼层(共18层),2017年,红山郡,丰台其它,https://bj.lianjia.com/ershoufang/101134052098.html
北京,翠屏里 2室1厅 南 北,206,"32,554元/平",2室1厅,63.28平米,南 北,精装,底层(共7层),板楼,翠屏里,九棵树(家乐福),https://bj.lianjia.com/ershoufang/101134111053.html
北京,新潮嘉园一期 2室1厅 南 北,188,"26,789元/平",2室1厅,70.18平米,南 北,简装,中楼层(共6层),2003年,新潮嘉园一期,潞苑,https://bj.lianjia.com/ershoufang/101132492050.html
北京,顺鑫澜庭装修好房 随时看 随时签约,128,"14,884元/平",2室1厅,86平米,南 北,简装,中楼层(共6层),2007年,顺鑫澜庭,杨镇,https://bj.lianjia.com/ershoufang/101134257141.html
北京,加州水郡四期，正规一居，全明格局，户型方正。,125,"21,234元/平",1室1厅,58.87平米,东 北,简装,中楼层(共11层),2011年,加州水郡四期,长阳,https://bj.lianjia.com/ershoufang/101134224809.html
北京,满五年 电梯入户 精装修，看房方便诚心出售,229,"30,006元/平",2室2厅,76.32平米,西 北,精装,中楼层(共14层),2018年,翡翠公园一期,北七家,https://bj.lianjia.com/ershoufang/101133456146.html
北京,石园西区，南北通透户型，主卧室带阳台，全明户型,110,"19,778元/平",2室1厅,55.62平米,南 北,其他,高楼层(共6层),1990年,石园西区,顺义城,https://bj.lianjia.com/ershoufang/101133630178.html
北京,富力城D区龙吟半岛3+1全明格局南北前后看花园,1388,"85,569元/平",3室1厅,162.21平米,南 北,精装,中楼层(共16层),2005年,富力城D区,双井,https://bj.lianjia.com/ershoufang/101134023450.html
北京,立水桥双地铁换乘，临近龙德广场购物中心，万优汇商场,389,"37,211元/平",2室2厅,104.54平米,东南,简装,顶层(共18层),板塔结合,正辰小区,立水桥,https://bj.lianjia.com/ershoufang/101132683175.html
北京,惠景新苑，电梯房，精装修，诚心出售，适合自主,59,"8,151元/平",2室1厅,72.39平米,南,精装,低楼层(共22层),2017年,惠景新苑,房山其它,https://bj.lianjia.com/ershoufang/101134042910.html
北京,潘家园南里 正规一居室 明厨明卫 采光无遮挡随时看,199,"44,144元/平",1室1厅,45.08平米,南,精装,底层(共6层),1994年,潘家园南里,潘家园,https://bj.lianjia.com/ershoufang/101132993194.html
北京,70年产权商品房精装拎包入住好位置观别墅看水系花园,215,"46,669元/平",2室1厅,46.07平米,南 北,精装,中楼层(共16层),2013年,首邑溪谷,高米店,https://bj.lianjia.com/ershoufang/101129343742.html
北京,永定路南蔚园南北三居室 满五年 有钥匙,320,"34,439元/平",3室1厅,92.92平米,南,简装,中楼层(共16层),1995年,蔚园,青塔,https://bj.lianjia.com/ershoufang/101131838572.html
北京,朝阳区东三环内华威北里小区，紧凑一居室,139,"37,038元/平",1室1厅,37.53平米,东,简装,顶层(共6层),1991年,华威北里,潘家园,https://bj.lianjia.com/ershoufang/101132404972.html
北京,东城区09年商品房 满五年 户型方正 无遮挡,390,"55,882元/平",2室1厅,69.79平米,北,简装,中楼层(共8层),2009年,华龙美晟,永定门,https://bj.lianjia.com/ershoufang/101132869468.html
北京,加华印象 运河商务区 低密电梯洋房 观景一居室,265,"35,595元/平",1室1厅,74.45平米,南,简装,高楼层(共11层),2004年,加华印象街,武夷花园,https://bj.lianjia.com/ershoufang/101132617321.html
北京,柏泉庄园雁舞园A区 3室2厅 南 北,230,"18,977元/平",3室2厅,121.2平米,南 北,简装,高楼层(共9层),板塔结合,柏泉庄园雁舞园A区,怀柔,https://bj.lianjia.com/ershoufang/101134184888.html
北京,Luo店长，满五唯一商品房，有电梯，商品房环境好,210,"37,116元/平",1室1厅,56.58平米,北,精装,高楼层(共19层),2004年,博龙家园,青塔,https://bj.lianjia.com/ershoufang/101132450297.html
北京,M5朗峰挑空4.89米LOFT小卧室有窗户户型,235,"41,084元/平",2室1厅,57.2平米,西,精装,低楼层(共10层),2012年,M5朗峰,通州北苑,https://bj.lianjia.com/ershoufang/101133985664.html
北京,圣馨家园高层精装两居室，客厅主卧朝南，有入户门厅,769,"81,230元/平",2室2厅,94.67平米,南 西南,精装,高楼层(共28层),2010年,圣馨家园,西坝河,https://bj.lianjia.com/ershoufang/101133673918.html
北京,新城市经典 1室1厅 西南,188,"37,600元/平",1室1厅,50平米,西南,简装,高楼层(共18层),1999年,新城市经典,科技园区,https://bj.lianjia.com/ershoufang/101130123387.html
北京,保利罗兰香谷，满五唯一，临河两居室，视野开阔,259,"30,550元/平",2室1厅,84.78平米,南,其他,低楼层(共14层),2013年,保利罗兰香谷,昌平其它,https://bj.lianjia.com/ershoufang/101133388522.html
北京,京城仁合 精装把边2居室拎包入住 满5年唯一,650,"77,733元/平",2室1厅,83.62平米,东北,精装,顶层(共16层),2004年,京城仁合,广渠门,https://bj.lianjia.com/ershoufang/101130959104.html
北京,潘家园松榆里 电梯房三居 无遮挡采光好,299,"38,437元/平",3室1厅,77.79平米,西南,简装,高楼层(共18层),1992年,松榆里,潘家园,https://bj.lianjia.com/ershoufang/101133429109.html
北京,龙湖香醍溪岸北区电梯洋房，南北通透，双卧朝南,265,"22,018元/平",3室1厅,120.36平米,南 北,其他,顶层(共8层),2011年,龙湖香醍溪岸北区,马坡,https://bj.lianjia.com/ershoufang/101130704006.html
北京,四方景园一区 政法小区  双阳台  楼层高视野好,398,"39,120元/平",2室1厅,101.74平米,西 北,精装,中楼层(共20层),塔楼,四方景园一区,成寿寺,https://bj.lianjia.com/ershoufang/101131731764.html
北京,陶然亭畅柳园+满五年有电梯+楼龄新,570,"77,320元/平",2室1厅,73.72平米,南 北,简装,低楼层(共14层),2004年,畅柳园,陶然亭,https://bj.lianjia.com/ershoufang/101129365240.html
北京,松榆西里一层两居，南北通透，满五唯一，近地铁,259,"46,819元/平",2室1厅,55.32平米,南 北,简装,底层(共6层),1992年,松榆西里,潘家园,https://bj.lianjia.com/ershoufang/101133357381.html
北京,正规大一居室  一号线临河里旁  紧靠环球影城,117,"20,327元/平",1室1厅,57.56平米,北,精装,顶层(共6层),2005年,小街之春,临河里,https://bj.lianjia.com/ershoufang/101132263992.html
北京,12号线 19号线 10号线 中间层两居室,398,"68,151元/平",2室1厅,58.4平米,东 西,简装,中楼层(共6层),1985年,钟表南园,马甸,https://bj.lianjia.com/ershoufang/101133327070.html
北京,金地悦景台一居相当于满五唯一看房随时,137,"23,411元/平",1室1厅,58.52平米,西,简装,低楼层(共15层),2017年,金地悦景台,后沙峪,https://bj.lianjia.com/ershoufang/101126780694.html
北京,石园西区，2层两居室，南北通透，户型方正，业主诚售,135,"23,357元/平",2室1厅,57.8平米,南 北,精装,低楼层(共6层),1991年,石园西区,顺义城,https://bj.lianjia.com/ershoufang/101134227187.html
北京,南北通透采光好，卧室光线无遮挡，价格可商量，业主诚,219,"27,852元/平",2室1厅,78.63平米,南 北,简装,低楼层(共6层),板塔结合,兴华园,枣园,https://bj.lianjia.com/ershoufang/101132423792.html
北京,房子满五年唯一，小区中间位置，视野宽广。地铁马连洼,599,"66,563元/平",2室1厅,89.99平米,南 北,简装,高楼层(共9层),2003年,百旺家苑,马连洼,https://bj.lianjia.com/ershoufang/101132754667.html
北京,莲花池南里小区 2室1厅 南 北,340,"57,550元/平",2室1厅,59.08平米,南 北,简装,中楼层(共6层),板楼,莲花池南里小区,广安门,https://bj.lianjia.com/ershoufang/101131606806.html
北京,翡翠公园一期 东边户三居室 满五年唯一住房诚心出售,298,"34,408元/平",3室1厅,86.61平米,南 北,其他,中楼层(共21层),2018年,翡翠公园一期,北七家,https://bj.lianjia.com/ershoufang/101134259873.html
北京,圣淘沙 2007年 8/5/14号线 人车分流,888,"40,211元/平",4室2厅,220.84平米,南 北,精装,高楼层(共17层),2007年,圣淘沙,木樨园,https://bj.lianjia.com/ershoufang/101130845100.html
北京,梅园南北通透两居房源明厨明卫中间位置,270,"42,320元/平",2室1厅,63.8平米,南 北,简装,顶层(共6层),1994年,梅园,马连洼,https://bj.lianjia.com/ershoufang/101131423077.html
北京,新华小区 南北低楼层两居室 装修好,203,"28,848元/平",2室1厅,70.37平米,南 北,其他,底层(共7层),板楼,新华小区,万达,https://bj.lianjia.com/ershoufang/101133741581.html
北京,北二环积水潭 2000年小区 首付50万 满五唯一,320,"65,174元/平",1室1厅,49.1平米,南,其他,底层(共20层),2001年,文慧园,小西天,https://bj.lianjia.com/ershoufang/101134237250.html
北京,京科苑 3室1厅 南 北,228,"26,338元/平",3室1厅,86.57平米,南 北,简装,低楼层(共6层),板楼,京科苑,东关,https://bj.lianjia.com/ershoufang/101130674192.html
北京,北街家园六区三居室，东西通透楼龄新,209,"23,748元/平",3室1厅,88.01平米,东 西,精装,低楼层(共18层),2016年,北街家园六区,沙河,https://bj.lianjia.com/ershoufang/101133950040.html
北京,房山原香漫谷三居室出售  品质社区花园洋房 近地铁,118,"12,824元/平",3室1厅,92.02平米,南 北,简装,高楼层(共20层),2015年,中国铁建原香漫谷二区,城关,https://bj.lianjia.com/ershoufang/101132630957.html
北京,地铁6号线物资学院站，南北朝向两居室，看房随时,239,"25,421元/平",2室1厅,94.02平米,南 北,简装,顶层(共6层),2004年,天赐良园二期半,北关,https://bj.lianjia.com/ershoufang/101133859077.html
北京,滨河东里 2室1厅 南 北,108,"18,000元/平",2室1厅,60平米,南 北,简装,顶层(共6层),1988年,滨河东里,枣园,https://bj.lianjia.com/ershoufang/101133054604.html
北京,荣丰2008，两居，两梯七户，满五年商品房，视野好,708,"62,755元/平",2室2厅,112.82平米,东北,精装,中楼层(共14层),2003年,荣丰2008,广安门,https://bj.lianjia.com/ershoufang/101132570150.html
北京,小区改造完成 主管道换新完成,310,"52,766元/平",2室1厅,58.75平米,东南,精装,高楼层(共13层),1988年,安慧北里小区,亚运村,https://bj.lianjia.com/ershoufang/101133434623.html
北京,全明格局，南北通透，装修挺好可以拎包入住，不临街,730,"67,769元/平",3室1厅,107.72平米,东 南 北,精装,高楼层(共27层),2014年,华贸城,北苑,https://bj.lianjia.com/ershoufang/101133481892.html
北京,石园西区 只有契税满五唯一 俩卧室,106,"16,896元/平",2室1厅,62.74平米,南 北,其他,顶层(共6层),1990年,石园西区,顺义城,https://bj.lianjia.com/ershoufang/101134282482.html
北京,龙湖花盛香醍 低密平层四居室 13米南向面宽随时看,808,"35,904元/平",4室2厅,225.05平米,南 北,简装,中楼层(共9层),2010年,龙湖花盛香醍,九棵树(家乐福),https://bj.lianjia.com/ershoufang/101130954973.html
北京,香悦四季东区满五年精装修上下两层复式,475,"31,418元/平",5室3厅,151.19平米,南 北,简装,底层(共11层),2012年,香悦四季东区,马坡,https://bj.lianjia.com/ershoufang/101133446475.html
北京,黄村西里 南向两居 中间楼层 近地铁,114,"26,395元/平",2室1厅,43.19平米,南,其他,中楼层(共5层),板楼,黄村西里,黄村中,https://bj.lianjia.com/ershoufang/101134279875.html
北京,近地铁，配套齐全，优质户型，就想近期成交，签约随时,199,"35,486元/平",1室1厅,56.08平米,南,精装,高楼层(共22层),2010年,金隅丽景园,常营,https://bj.lianjia.com/ershoufang/101133469547.html
北京,万科星园 四期 正规一室一厅户型  满五唯一,399,"61,197元/平",1室1厅,65.2平米,西南,精装,低楼层(共28层),2005年,万科星园,奥林匹克公园,https://bj.lianjia.com/ershoufang/101134196115.html
北京,马连洼菊园南北通透一居室，空间均有外窗，户型方正,229,"46,142元/平",1室1厅,49.63平米,南 北,简装,高楼层(共6层),板楼,菊园,马连洼,https://bj.lianjia.com/ershoufang/101134284940.html
北京,天通苑中苑 2室1厅 南 北,310,"29,368元/平",2室1厅,105.56平米,南 北,简装,中楼层(共7层),2008年,天通苑中苑,天通苑,https://bj.lianjia.com/ershoufang/101128889452.html
北京,天恒·绿湾星苑13号院东西两居室，高楼层，采光好,126,"16,925元/平",2室1厅,74.45平米,东 西,精装,中楼层(共16层),2018年,绿湾星苑,良乡,https://bj.lianjia.com/ershoufang/101133821118.html
