标题,总价(万),单价(元/平),户型,面积(平),朝向,装修,楼层,年份,小区,区域,链接
城关北里社区 1室1厅 南 北,59,"13,100元/平",1室1厅,45.04平米,南 北,其他,中楼层(共6层),1987年,城关北里社区,城关,https://bj.lianjia.com/ershoufang/101133175316.html
东方生活区 2室1厅 南 北,150,"26,897元/平",2室1厅,55.77平米,南 北,其他,中楼层(共5层),板楼,东方生活区,万达,https://bj.lianjia.com/ershoufang/101134238946.html
次新小区 采光好 高楼层 城铁800米,120,"13,712元/平",2室1厅,87.52平米,南,精装,中楼层(共20层),板楼,中国铁建原香漫谷四区,城关,https://bj.lianjia.com/ershoufang/101131140246.html
理想家园 南向1居室 中间楼层 视野好,125,"26,289元/平",1室1厅,47.55平米,南,精装,25层,2013年,理想家园,西红门,https://bj.lianjia.com/ershoufang/101132175799.html
下坡屯家园一区 正规一居室 刚需,83,"13,308元/平",1室1厅,62.37平米,南,简装,高楼层(共11层),2012年,下坡屯家园一区,顺义其它,https://bj.lianjia.com/ershoufang/101133841428.html
国美第一城3号院 1室1厅 西 东北,235,"40,616元/平",1室1厅,57.86平米,西 东北,简装,高楼层(共27层),2007年,国美第一城3号院,朝青,https://bj.lianjia.com/ershoufang/101132736748.html
运乔嘉园一层两居室，满五年唯一，南北通透,335,"36,645元/平",2室1厅,91.42平米,南 北,简装,底层(共6层),板楼,运乔嘉园,乔庄,https://bj.lianjia.com/ershoufang/101132939827.html
北太平庄牡丹园花园路14号院南北两居楼龄新满五年,329,"67,557元/平",2室1厅,48.7平米,南 北,毛坯,底层(共5层),板楼,花园路14号院,北太平庄,https://bj.lianjia.com/ershoufang/101133772908.html
锦绣园满五唯一精装南向中层一居室视野开阔采光充足,90,"13,383元/平",1室1厅,67.25平米,南,其他,中楼层(共8层),2016年,锦绣园,顺义其它,https://bj.lianjia.com/ershoufang/101134110781.html
佳和园新区 落地窗大阳台 户型优质,239,"24,920元/平",2室1厅,95.91平米,南 北,其他,高楼层(共6层),板塔结合,佳和园新区,旧宫,https://bj.lianjia.com/ershoufang/101132932770.html
绿城和金茂开发 南北通透三居室 邻地铁7号线,530,"49,626元/平",3室1厅,106.8平米,南 北,精装,低楼层(共24层),2024年,绿城沁园,豆各庄,https://bj.lianjia.com/ershoufang/101133916246.html
远洋一方润园2号院 精装南向两居,355,"40,829元/平",2室1厅,86.95平米,南,精装,低楼层(共14层),板楼,远洋一方润园2号院,双桥,https://bj.lianjia.com/ershoufang/101132555284.html
商品房满五年唯一，低楼层三居两卫，小区中间位置。,398,"33,109元/平",3室1厅,120.21平米,南 北,简装,6层,板楼,龙锦苑四区,回龙观,https://bj.lianjia.com/ershoufang/101130605412.html
二次装修 精装复式两居 西南向 全明格局 拎包入,515,"89,024元/平",2室1厅,57.85平米,西南,简装,中楼层(共16层),2007年,天鹅湾北区,朝青,https://bj.lianjia.com/ershoufang/101127093141.html
1988年建成无遮挡，正规两居室，业主急售可贷款,399,"87,500元/平",2室1厅,45.6平米,东 西,简装,地下室(共6层),板楼,白云路七号院,木樨地,https://bj.lianjia.com/ershoufang/101133945500.html
西上园二区 运河商务区，南北通透两居，交通便利,299,"32,721元/平",2室1厅,91.38平米,南 北,精装,中楼层(共7层),2002年,西上园二区,武夷花园,https://bj.lianjia.com/ershoufang/101133014495.html
